,lgb_gain,lgb_split,xgb_weight,xgb_gain,xgb_cover,perm_lgb,perm_xgb,shap_lgb,shap_xgb,composite_score,final_rank
mid_price_corr,11598.194786834716,138.6,178.2,61.0574462890625,15011.58779296875,0.5324838118119414,0.5750804083887411,0.4642637844986495,0.51926035,0.08366188879653357,1.0
seconds_in_bucket,11268.684798145294,265.6,484.0,25.883609771728516,3975.0360595703123,0.2029566812274794,0.21324975508499353,0.1541795050775286,0.107594475,0.05657926957518874,2.0
relative_to_min,7489.433812332153,182.0,234.6,30.878728485107423,6536.732177734375,0.2089598840438689,0.21330773546996512,0.32443521169105666,0.30569783,0.0525157686922005,3.0
relative_to_max,6238.6050158500675,154.6,199.4,30.538396072387695,7143.48369140625,0.1728793693515685,0.20028641775056572,0.5633746727555085,0.17719239,0.050297097025702085,4.0
reference_price_corr,4272.569735050201,91.2,114.4,39.23694190979004,10067.9298828125,0.07915860681645243,0.11361735253589227,0.44340922313609676,0.2666051,0.040773424103055414,5.0
wap_x,4792.893452644348,75.6,108.0,39.57236289978027,10933.0189453125,0.10349828867768371,0.11131865569957625,0.0872547116138175,0.15119879,0.03079963305565781,6.0
bid_size_over_ask_size,1384.1759963989257,11.2,10.4,109.35662994384765,29774.019921875,0.01145578335141156,0.014221913627568023,0.0014252831076936865,0.0,0.02771250511164506,7.0
time_id,4137.306614112854,149.0,267.2,19.090053939819335,6853.986962890625,0.0,0.0,0.06216238198177708,0.07374798,0.026421757732884132,8.0
BBO_size_imbalance,862.2866890907287,9.6,22.8,79.9319969177246,21387.593359375,0.006819302479782364,0.01444948025687598,0.025322105509606084,0.17008564,0.02506505128252401,9.0
MCI_a,1382.4243854522706,50.6,87.2,20.858565711975096,8351.65185546875,0.017989910950228814,0.011873687469462445,0.37502298857850935,0.037581947,0.021808708152791692,10.0
near_price_corr,2427.010263347626,75.2,89.8,26.31885108947754,5925.4626953125,0.023852502486225582,0.0174601947513629,0.14403737220235602,0.104705885,0.02052914291124049,11.0
vwapm_a,2050.2170671463014,61.8,101.8,23.742493438720704,8009.504248046875,0.014540452177136096,0.02324109724062421,0.16939251331878522,0.047576286,0.01949010456662416,12.0
bid_price_wap_imb,429.2249853134155,13.4,13.6,26.06749725341797,21636.205078125,0.0027823765120267296,0.002567824454332133,0.012835382547039125,0.15223652,0.017524099415346155,13.0
ask_price_bid_price_wap_imb2,453.8788064956665,11.4,31.8,20.477056121826173,3671.3374267578124,0.004114468209866366,0.00480045547179401,0.46032489765061263,0.044929896,0.017174615185657043,14.0
bid_price_minus_wap,481.5026123046875,18.0,51.8,14.126792335510254,9185.696630859375,0.003028231468873095,0.0036427270743722316,0.09977045075727631,0.27118263,0.01701900532102979,15.0
reference_price_wap_imb,912.9139390945435,20.0,20.4,36.010697555541995,22774.026953125,0.007723225669002005,0.0030565812274696924,0.01438495877475927,0.0071745515,0.016822959408593227,16.0
ask_price_wap_imb,360.05634050369264,11.6,14.6,23.953746223449706,26078.72705078125,0.005401436592143654,0.0019507946894368542,0.00979055098031352,0.047701012,0.01649094775239762,17.0
ask_price_minus_wap,617.8683050155639,19.0,47.0,15.446426391601562,4768.769458007812,0.008782449190654518,0.005194730781669749,0.13490652674517067,0.2511881,0.01586611752625513,18.0
bid_price_times_wap,1333.6788957595825,27.4,45.0,35.011498641967776,7884.844287109375,0.005618329849702448,0.005393127538192566,0.06783066274427357,0.110874645,0.015593640840378651,19.0
reference_price_minus_wap,975.9734825134277,27.2,64.2,20.54866752624512,8978.340234375,0.004499136503614523,0.007131917931034727,0.12311539608788084,0.08081554,0.015021997070439682,20.0
effective_spread,1066.7312461853028,21.2,64.2,25.031173706054688,4939.118334960937,0.006354455895330418,0.009804243732603234,0.13527909857774456,0.107635535,0.014674815066162524,21.0
ask_price,1402.5154943466187,41.6,77.6,23.976546669006346,4690.108813476562,0.009567187213001774,0.009857996478097241,0.1431753250717761,0.035700038,0.014637976766051362,22.0
MCI_b,1280.9481576919557,45.0,69.6,21.70989990234375,6013.462646484375,0.007714892142265875,0.012523108176949122,0.06903443455410864,0.08389267,0.01429047107942991,23.0
vwapm_b,1590.6378679275513,49.6,71.4,23.126278686523438,5533.00322265625,0.007438905083999002,0.004289684786505212,0.06274696047586897,0.06394786,0.01404692729415054,24.0
matched_size,1221.752055454254,59.6,120.2,14.675893020629882,3212.93330078125,-0.0010889398384002645,-0.002347479823948788,0.0833544017446566,0.0691603,0.013685321191063055,25.0
far_price_corr,1367.8605333328246,50.4,69.2,20.965093421936036,4045.801708984375,0.004109384988647485,0.004538281416561709,0.04974392118058938,0.10161724,0.013469342920177015,26.0
CMV_3_bid_size,949.0285792350769,43.6,75.2,17.620523834228514,10473.015380859375,0.0026063366609518825,0.0027948596088622326,0.05333677672047593,0.025749877,0.013351077962183773,27.0
bid_price,1454.5205499649048,39.2,68.8,22.058090209960938,4180.394091796875,0.008985282114312092,0.01256726524264927,0.06096472550745782,0.07018538,0.012991978268080183,28.0
reference_price_times_wap,509.4419570922852,19.8,35.0,21.907983016967773,11854.7642578125,0.00920917254519356,0.02215100806241459,0.01558924815871063,0.06043481,0.012370270034802573,29.0
min_vol,581.2501491546631,28.6,50.4,16.352020263671875,4465.628149414062,0.0007238887572717444,0.0020588704187181504,0.09781798899755446,0.088758744,0.011409347357500578,30.0
imbalance_ratio,890.358059501648,42.0,102.2,15.42671184539795,2483.253942871094,-0.0001081402759828265,0.0007147085603365966,0.03948514637085546,0.07792164,0.011172325308058052,31.0
imbalance_size,1012.8010341644288,47.0,111.4,13.541938018798827,1506.9671508789063,8.591782807140878e-05,-0.00045140840353965925,0.08809783633361776,0.03431299,0.011160274832099644,32.0
reference_price_ask_price_bid_price_imb2,543.6277541160583,32.0,78.6,12.017108154296874,3154.649279785156,0.0004205706920233254,0.0008084753258496135,0.11310255875132828,0.06674066,0.010991514949004206,33.0
stock_id,789.9864778518677,36.4,86.8,11.951535606384278,2050.3900634765623,-0.0015452269398979013,-0.000541307793329473,0.110681594848601,0.058695093,0.010883725107378926,34.0
ask_price_times_wap,897.5563465118408,26.8,38.6,21.68572082519531,5724.24345703125,0.004121469816068562,0.0058621250764509724,0.09226127302546537,0.012344498,0.010706198541428756,35.0
max_vol,862.5878828048706,39.4,53.2,16.58018913269043,4103.279956054687,0.002020830688253845,-0.00022888954399292058,0.019578415661031186,0.08069573,0.010232759506345071,36.0
ask_bid_size_diff,178.3902726173401,11.8,34.6,18.299455642700195,1752.8194152832032,0.0003367768375711577,0.0010755142044780895,0.07070104672111152,0.16317458,0.010036776040995581,37.0
vwap_b,599.8143468856812,27.0,46.0,15.999763488769531,4502.767578125,0.00023399456879552352,0.0009646128426344446,0.05726707862708816,0.075109184,0.009970389333075364,38.0
CMV_3,846.0193744659424,38.4,64.6,16.110094261169433,2524.14169921875,0.0003865436146825374,-0.0002681978319609258,0.06053860464868011,0.045900874,0.00978335460384287,39.0
CMV_3_ask_size,653.2116107940674,30.2,53.2,18.211643791198732,4428.14326171875,-0.0005064254699837534,-0.0011840178010325884,0.05601510230977832,0.03897114,0.009628934607748926,40.0
